stationName,Longitude,Latitude,totalDocks
21 St & 43 Ave,-73.94594845,40.75052534,23
Queens Plaza North & Crescent St,-73.94073717,40.75110165,31
21 St & Queens Plaza North,-73.94335788,40.75325964,31
E 68 St & 3 Ave,-73.96224618,40.7671284,31
E 59 St & Madison Ave,-73.97109243,40.76350532,35
3 Ave & E 62 St,-73.96526895,40.76312584,51
E 75 St & 3 Ave,-73.95772297,40.77112927,41
5 Ave & E 63 St,-73.971518,40.766368,47
5 Ave & E 73 St,-73.96685276,40.77282817,31
E 72 St & Park Ave,-73.96409422,40.77118288,43
1 Ave & E 78 St,-73.9535166,40.77140426,55
1 Ave & E 62 St,-73.96094022,40.7612274,41
5 Ave & E 78 St,-73.96427393,40.77632142,47
E 81 St & Park Ave,-73.9590097,40.77677702,46
E 84 St & Park Ave,-73.95772073,40.77862688,45
E 81 St & 3 Ave,-73.9567526,40.77573034,47
E 84 St & 1 Ave,-73.95068615,40.77565541,31
E 85 St & York Ave,-73.94803392,40.77536905,47
E 81 St & York Ave,-73.94989233,40.7728384,43
3 Ave & E 71 St,-73.96119945,40.76873687,42
E 77 St & 3 Ave,-73.95856158,40.77314236,31
Lexington Ave & E 63 St,-73.96648977,40.76440023,39
E 72 St & York Ave,-73.95348296,40.76663814,37
East End Ave & E 86 St,-73.94446054,40.77518615,27
W 63 St & Broadway,-73.98261428,40.77163851,31
W 67 St & Broadway,-73.98266566,40.77492513,31
Central Park West & W 76 St,-73.97374737,40.77896784,39
W 76 St & Columbus Ave,-73.97728533,40.78018397,59
W 78 St & Broadway,-73.98093133,40.78339981,39
Central Park West & W 68 St,-73.97782542,40.7734066,43
Columbus Ave & W 72 St,-73.97898475,40.7770575,67
Central Park West & W 72 St,-73.97620574,40.77579377,51
Riverside Dr & W 72 St,-73.98562431,40.78057799,41
Amsterdam Ave & W 73 St,-73.98093045,40.77966809,55
Central Park West & W 85 St,-73.96961715,40.78472675,31
Riverside Dr & W 82 St,-73.98128127,40.78720869,39
W 84 St & Columbus Ave,-73.97283406,40.78499979,35
Amsterdam Ave & W 82 St,-73.97667321,40.78524672,39
W 74 St & Columbus Ave,-73.97754961,40.7785669,27
Riverside Blvd & W 67 St,-73.98888588,40.77750703,39
W 70 St & Amsterdam Ave,-73.98288594,40.77748046,31
W 84 St & Broadway,-73.977112,40.7867947,63
Riverside Dr & W 78 St,-73.98362492,40.78414472,39
Park Ave & Marcus Garvey Blvd,-73.941342,40.698617,23
Yankee Ferry Terminal,-74.016966,40.686931,42
Paulus Hook,-74.0335519,40.7141454,14
City Hall,-74.043845,40.7177325,22
Grove St PATH,-74.04311746,40.71958612,42
Warren St,-74.03805095,40.7211236,22
Union St,-74.0836394,40.7182113,18
Liberty Light Rail,-74.0557013,40.7112423,22
Lincoln Park,-74.07840595,40.7246051,18
McGinley Square,-74.06762213,40.72533993,22
Sip Ave,-74.06391263,40.7308971,34
Riverview Park,-74.0439909,40.7443187,18
Heights Elevator,-74.0404433,40.74871595,18
Newport Pkwy,-74.0321082,40.7287448,14
Dey St,-74.066921,40.737711,18
Newport PATH,-74.0337589,40.7272235,18
Hamilton Park,-74.04424731,40.72759597,26
JC Medical Center,-74.04963791,40.71653978,22
Hilltop,-74.0575736,40.7311689,26
Oakland Ave,-74.0524783,40.7376037,26
Brunswick St,-74.0506564,40.7241765,22
Pershing Field,-74.05178863,40.74267714,18
Newark Ave,-74.04630454,40.72152515,22
Christ Hospital,-74.05044364,40.73478582,22
Van Vorst Park,-74.04772663,40.71848892,21
Essex Light Rail,-74.0364857,40.7127742,22
5 Corners Library,-74.05950308,40.73496102,18
47 Ave & 31 St,-73.93561,40.743,27
Baldwin at Montgomery,-74.0641943,40.7236589,14
W 82 St & Central Park West,-73.97137,40.78275,45
E 67 St & Park Ave,-73.96592081,40.7678008,39
Bond St & Fulton St,-73.98304269,40.68962189,31
E 41 St & Madison Ave,-73.97992194,40.75216528,31
W 42 St & Dyer Ave,-73.99379969,40.75898481,33
Monroe St & Tompkins Ave,-73.944694,40.686203,19
Schermerhorn St & Court St,-73.99183363,40.69102926,39
E 58 St & 1 Ave (NE Corner),-73.96226227,40.75892386,29
University Pl & E 8 St,-73.99490342,40.73143724,42
Verona Pl & Fulton St,-73.9476791,40.68035608,19
